ID,Pipe_OD,Pipe_WT,Yield_Strength,Tensile_Strength,Elongation,%C,%Mn,%S,%P,%Si,%Al,%Cr,%Mo,%Ni,%Cu,%Nb,CE(IIW),Pipe_Grade
1295,12.75,0.25,49200,68500,28.1,0.234,0.68,0.021,0.006,0.008,0.001,0.139,0.003,0.012,0.256,0.001,0.394,X46
1295,12.75,0.25,53000,71000,26.9,0.26,0.709,0.014,0.005,0.008,0.001,0.153,0.003,0.011,0.266,0.001,0.428,X46
1295,12.75,0.25,54000,69500,27.1,0.238,0.748,0.021,0.005,0.01,0.001,0.113,0.004,0.012,0.22,0.001,0.402,X46
1295,12.75,0.25,54000,71000,28,0.197,0.712,0.009,0.005,0.006,0.001,0.144,0.002,0.009,0.284,0.001,0.364,X46
1295,12.75,0.25,54000,71000,26,0.231,0.732,0.021,0.005,0.008,0.001,0.112,0.004,0.012,0.223,0.001,0.392,X46
1295,12.75,0.25,55500,71000,30.8,0.173,0.652,0.019,0.004,0.006,0.001,0.135,0.002,0.009,0.195,0.001,0.323,X46
1297,20,0.25,66500,85000,27.1,0.259,1.22,0.022,0.009,0.025,0.003,0.023,0.007,0.014,0.017,0.017,0.47,X52
1298,10.75,0.25,41100,62000,37.2,0.165,0.433,0.025,0.017,0.046,0.008,0.012,0.004,0.014,0.029,0.001,0.243,Grade B
1299,6.625,0.25,72000,82000,26.6,0.234,0.565,0.019,0.005,0.015,0.007,0.074,0.009,0.023,0.044,0.001,0.349,X42
1300,8.625,0.188,56000,78500,24.6,0.25,0.824,0.033,0.011,0.093,0.001,0.071,0.016,0.082,0.253,0.001,0.427,X52
1300,8.625,0.188,59500,80500,25.5,0.25,0.822,0.03,0.011,0.094,0.001,0.071,0.016,0.081,0.252,0.001,0.427,X52
1302,8.625,0.219,62500,74000,30.7,0.228,0.72,0.026,0.014,0.01,0.002,0.024,0.004,0.047,0.029,0.001,0.359,X42
1303,4.5,0.237,36500,57500,43.9,0.073,0.413,0.023,0.051,0.004,0.013,0.015,0.004,0.023,0.044,0.001,0.097,Bessemer
1305,16,0.25,53500,70000,37,0.142,0.68,0.02,0.007,0.005,0.002,0.048,0.007,0.047,0.047,0.001,0.273,Grade B
1306,26,0.312,66500,85500,28.5,0.243,1.11,0.035,0.027,0.072,0.001,0.038,0.008,0.093,0.138,0.001,0.453,X52
1306,26,0.312,67000,85500,28.3,0.261,0.99,0.02,0.018,0.043,0.002,0.037,0.027,0.074,0.156,0.001,0.456,X52
1310,8.625,0.156,55500,73000,32.8,0.206,1.11,0.017,0.01,0.058,0.001,0.02,0.005,0.073,0.043,0.001,0.404,X52
1310,8.625,0.156,56500,74000,33.9,0.22,1.18,0.018,0.013,0.083,0.001,0.003,0.006,0.072,0.05,0.001,0.427,X52
1310,8.625,0.156,57000,76000,30.3,0.227,1.1,0.02,0.013,0.021,0.002,0.026,0.006,0.028,0.055,0.001,0.422,X52
1310,8.625,0.156,60500,86000,33.1,0.264,1.13,0.013,0.012,0.016,0.002,0.024,0.005,0.014,0.028,0.001,0.461,X52
1310,8.625,0.156,67000,86000,16.3,0.206,1.11,0.017,0.01,0.058,0.001,0.02,0.005,0.073,0.043,0.001,0.404,X52
1310,8.625,0.156,68500,85000,15.4,0.22,1.18,0.018,0.013,0.083,0.001,0.003,0.006,0.072,0.05,0.001,0.427,X52
1310,8.625,0.156,71500,90500,5.1,0.264,1.13,0.013,0.012,0.016,0.002,0.024,0.005,0.014,0.028,0.001,0.461,X52
1310,8.625,0.156,73000,87000,9.6,0.227,1.1,0.02,0.013,0.021,0.002,0.026,0.006,0.028,0.055,0.001,0.422,X52
1311,8.625,0.203,51000,69000,27.9,0.246,0.728,0.029,0.008,0.01,0.01,0.025,0.01,0.04,0.137,0.001,0.386,X42
1311,8.625,0.203,51500,65000,32.2,0.225,0.739,0.03,0.014,0.014,0.005,0.032,0.006,0.031,0.142,0.001,0.367,X42
1312,20,0.344,61000,84000,29.5,0.266,1.06,0.024,0.011,0.064,0.001,0.022,0.007,0.034,0.147,0.001,0.461,X52
1313,12.75,0.306,63000,78000,26.2,0.213,1.25,0.023,0.011,0.162,0.044,0.014,0.008,0.011,0.008,0.031,0.427,X60
1317,12.75,0.306,63000,78000,26.2,0.213,1.25,0.023,0.011,0.162,0.044,0.014,0.008,0.011,0.008,0.031,0.427,X60
1313,12.75,0.306,63500,80000,26.7,0.223,1.32,0.016,0.011,0.026,0.004,0.013,0.008,0.017,0.015,0.028,0.46,X60
1317,12.75,0.306,63500,80000,26.7,0.223,1.32,0.016,0.011,0.026,0.004,0.013,0.008,0.017,0.015,0.028,0.46,X60
1313,12.75,0.306,65500,81500,29.1,0.205,1.28,0.014,0.013,0.031,0.002,0.036,0.011,0.02,0.015,0.033,0.439,X60
1317,12.75,0.306,65500,81500,29.1,0.205,1.28,0.014,0.013,0.031,0.002,0.036,0.011,0.02,0.015,0.033,0.439,X60
1315,16,0.25,78500,91000,26.2,0.051,1.59,0.002,0.013,0.265,0.044,0.036,0.013,0.023,0.029,0.08,0.336,X70
1315,16,0.25,81500,93000,23.9,0.048,1.59,0.002,0.014,0.286,0.04,0.035,0.011,0.013,0.023,0.076,0.332,X70
1316,24,0.281,59000,81500,31,0.257,1.1,0.018,0.015,0.072,0.003,0.036,0.009,0.096,0.114,0.001,0.463,X52
1316,24,0.281,68000,85500,29.9,0.25,1.1,0.019,0.013,0.069,0.001,0.044,0.023,0.095,0.112,0.001,0.461,X52
1318,20,0.25,63500,87000,26.7,0.245,1.24,0.02,0.011,0.021,0.008,0.023,0.009,0.043,0.034,0.019,0.463,X52
1348,10.75,0.219,50500,66500,24.8,0.261,0.765,0.012,0.007,0.009,0.001,0.026,0.006,0.023,0.036,0.001,0.399,Grade B
1349,4.5,0.377,52000,77000,40,0.218,0.946,0.012,0.009,0.214,0.032,0.025,0.007,0.016,0.026,0.001,0.385,X42
1349,4.5,0.377,53500,81000,37,0.198,0.911,0.008,0.008,0.208,0.032,0.025,0.006,0.016,0.025,0.001,0.359,X42
1349,4.5,0.377,57500,75000,33.1,0.254,0.604,0.023,0.009,0.013,0.003,0.043,0.01,0.067,0.17,0.001,0.381,X42
1350,10.75,0.188,58000,82000,22.6,0.253,1.33,0.024,0.006,0.018,0.006,0.038,0.014,0.056,0.112,0.001,0.496,X52
1350,10.75,0.188,61500,81500,4.6,0.253,1.33,0.024,0.006,0.018,0.006,0.038,0.014,0.056,0.112,0.001,0.496,X52
1351,6,0.156,60500,72500,24.5,0.216,0.811,0.02,0.007,0.016,0.015,0.011,0.004,0.009,0.011,0.001,0.356,X42
1357,10.75,0.25,44300,68000,36.5,0.206,0.583,0.014,0.007,0.023,0.012,0.009,0.003,0.009,0.012,0.001,0.307,Grade B
1358,18,0.25,55000,73500,20.8,0.173,0.95,0.026,0.024,0.307,0.033,0.068,0.012,0.052,0.125,0.001,0.359,X52
1358,18,0.25,57500,77500,22.1,0.188,0.919,0.025,0.018,0.314,0.039,0.068,0.015,0.056,0.139,0.001,0.371,X52
1359,12.75,0.25,40800,67400,9,0.224,1.15,0.022,0.019,0.462,0.069,0.386,0.07,0.151,0.103,0.001,0.524,X52
1362,20,0.281,42100,64500,39.2,0.271,0.441,0.025,0.005,0.028,0.001,0.026,0.008,0.007,0.012,0.001,0.353,Grade B
1364,24,0.281,60000,82500,30.2,0.263,1.11,0.019,0.012,0.06,0.002,0.055,0.008,0.012,0.014,0.001,0.462,X52
1366,16,0.312,56000,76000,27.9,0.237,0.802,0.022,0.028,0.015,0.008,0.031,0.008,0.052,0.171,0.001,0.393,X46
1365,16,0.25,58500,77500,31.1,0.201,1.07,0.014,0.006,0.039,0.001,0.012,0.006,0.001,0.012,0.045,0.201,X52
1365,16,0.25,60500,80000,27.6,0.186,1.06,0.019,0.007,0.02,0.001,0.011,0.006,0.011,0.005,0.027,0.367,X52
1370,8.625,0.188,66500,86000,23.1,0.269,1.21,0.011,0.009,0.015,0.002,0.03,0.016,0.013,0.08,0.001,0.493,X52
1370,8.625,0.188,70500,95000,23.2,0.272,1.08,0.01,0.009,0.019,0.006,0.013,0.035,0.008,0.007,0.001,0.463,X52
1371,8,0.203,68500,94000,21.3,0.248,1.11,0.02,0.01,0.015,0.005,0.014,0.006,0.009,0.009,0.001,0.439,X52
1371,8,0.203,76500,98000,10.7,0.248,1.11,0.02,0.01,0.015,0.005,0.014,0.006,0.009,0.009,0.001,0.439,X52
1372,6.625,0.156,70500,81000,20.9,0.226,0.976,0.015,0.017,0.128,0.003,0.04,0.01,0.052,0.1,0.001,0.393,X52
1373,12.75,0.203,50000,69500,35.7,0.221,0.841,0.013,0.016,0.026,0.003,0.015,0.005,0.018,0.06,0.001,0.37,X46
1374,6.625,0.25,60000,74000,27.8,0.14,0.71,0.01,0.007,0.008,0.002,0.017,0.004,0.012,0.01,0.001,0.264,X52
1375,4.5,0.239,66500,92000,28.9,0.212,1.13,0.012,0.011,0.151,0.019,0.021,0.009,0.009,0.011,0.001,0.412,X52
1376,12.75,0.219,59000,73500,27.9,0.246,0.952,0.02,0.008,0.008,0.005,0.041,0.008,0.025,0.031,0.001,0.418,X52
1376,12.75,0.219,60500,77000,26.3,0.264,0.908,0.02,0.008,0.008,0.006,0.044,0.016,0.015,0.043,0.001,0.431,X52
1376,12.75,0.219,63500,80000,26.8,0.25,0.942,0.016,0.009,0.007,0.015,0.075,0.009,0.017,0.023,0.001,0.426,X52
1378,6.625,0.188,61000,74500,33.7,0.19,0.836,0.018,0.01,0.029,0.001,0.037,0.006,0.026,0.074,0.001,0.345,X46
1377,10.75,0.203,52000,70000,30.8,0.219,0.583,0.021,0.013,0.011,0.027,0.026,0.005,0.015,0.018,0.001,0.325,Grade B
1379,6.625,0.28,53000,66000,34,0.267,0.689,0.027,0.008,0.009,0.002,0.035,0.012,0.049,0.167,0.001,0.406,Grade B
1380,6.625,0.25,68000,81000,29.6,0.132,0.628,0.006,0.003,0.003,0.001,0.007,0.003,0.004,0.012,0.001,0.24,X52
1381,10.75,0.25,51500,68000,30.9,0.222,0.542,0.028,0.026,0.008,0.016,0.032,0.014,0.053,0.048,0.001,0.328,Grade B
1381,10.75,0.25,60000,73500,10.8,0.222,0.542,0.028,0.026,0.008,0.016,0.032,0.014,0.053,0.048,0.001,0.328,Grade B
1382,10.75,0.25,57000,74000,27.7,0.212,0.839,0.024,0.014,0.008,0.017,0.041,0.008,0.032,0.123,0.001,0.372,X46
1382,10.75,0.25,63500,77500,7.5,0.212,0.839,0.024,0.014,0.008,0.017,0.041,0.008,0.032,0.123,0.001,0.372,X46
