name,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,Grade_Early_bin
171,40300,69500,1958,0.235,0.498,0.017,0.157,0.008,0.019,0.034,0.014,0,0.034,0.066,0.007,0.002,0.001,0.007,0
172,48500,67500,1960,0.227,0.78,0.031,0.045,0.017,0.043,0.048,0.017,0.002,0.045,0.027,0.003,0.002,0.003,0.005,0
173,42800,63500,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
174,43000,71000,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
175,44200,74500,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
176,45100,63500,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
177,46000,73000,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
178,46800,71000,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
179,46800,69500,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
180,48100,74000,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
181,48100,74000,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
182,48900,73500,1939,0.24,0.57,0.022,0.12,0.01,0.018,0.034,0.006,0.001,0.02,0.05,0,0.002,0,0,0
183,33200,57500,1964,0.126,0.521,0.03,0.029,0.066,0.101,0.006,0.002,0.001,0.005,0.007,0.001,0.001,0.001,0.002,0
184,33600,45200,1905,0.032,0.109,0.02,0.032,0.072,0.004,0.002,0.001,0.001,0.008,0.018,0.002,0.002,0,0.004,0
185,36100,49000,1943,0.037,0.361,0.021,0.003,0.061,0.001,0.005,0.005,0.002,0.005,0.012,0.002,0.002,0.002,0.005,1
186,37000,55500,1957,0.051,0.483,0.028,0.005,0.054,0.002,0.005,0.001,0,0.006,0.01,0,0.001,0.001,0.001,1
187,37500,54000,1905,0.119,0.448,0.021,0.005,0.013,0.009,0.015,0.003,0,0.008,0.009,0.002,0.002,0.001,0.005,0
188,38100,49500,1948,0.082,0.453,0.033,0.006,0.01,0.027,0.012,0.001,0,0.013,0.03,0.004,0,0.001,0.003,0
