ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe Vintage,%C,%Mn,%S,%Si,%P,%Al,%Cr,%Mo,%V,%Ni,%Cu,%Sn,%Ti,%Nb,%Co,binary
60,0.0125,0.375,30.0,45700,80500,1957,0.272,1.1,0.018000000000000002,0.028999999999999998,0.015,0.003,0.045,0.009000000000000001,0.003,0.027000000000000003,0.038,0.003,0.002,0.003,0.006999999999999999,0
61,0.0125,0.375,30.0,52000,80000,1957,0.243,1.06,0.015,0.012,0.012,0.005,0.048,0.024,0.003,0.079,0.162,0.024,0.002,0.003,0.011000000000000001,0
62,0.0125,0.375,30.0,53000,79000,1957,0.252,1.12,0.022000000000000002,0.036000000000000004,0.012,0.002,0.046,0.008,0.003,0.015,0.028999999999999998,0.003,0.002,0.003,0.006,0
63,0.0125,0.375,30.0,53000,79500,1957,0.252,1.12,0.022000000000000002,0.036000000000000004,0.012,0.002,0.046,0.008,0.003,0.015,0.028999999999999998,0.003,0.002,0.003,0.006,0
64,0.0125,0.375,30.0,55800,82600,1952,0.24,0.98,0.027000000000000003,0.02,0.011000000000000001,0.006,0.026000000000000002,0.009000000000000001,0.003,0.044000000000000004,0.040999999999999995,0.006,0.002,0.003,0.008,0
65,0.0125,0.375,30.0,55800,82600,1952,0.27,1.08,0.025,0.026000000000000002,0.013000000000000001,0.004,0.022000000000000002,0.006,0.003,0.031,0.04,0.006,0.002,0.003,0.008,0
66,0.0125,0.375,30.0,56600,82500,1952,0.24,0.98,0.027000000000000003,0.02,0.011000000000000001,0.006,0.026000000000000002,0.009000000000000001,0.003,0.044000000000000004,0.040999999999999995,0.006,0.002,0.003,0.008,0
67,0.0125,0.375,30.0,56600,82500,1952,0.27,1.08,0.025,0.026000000000000002,0.013000000000000001,0.004,0.022000000000000002,0.006,0.003,0.031,0.04,0.006,0.002,0.003,0.008,0
68,0.0125,0.375,30.0,57500,81000,1957,0.243,1.06,0.015,0.012,0.012,0.005,0.048,0.024,0.003,0.079,0.162,0.024,0.002,0.003,0.011000000000000001,0
69,0.014423077,0.375,26.0,69000,92700,1968,0.27,1.18,0.015,0.034,0.008,0.0,0.01,0.008,0.001,0.037000000000000005,0.076,0.008,0.002,0.009000000000000001,0.0,0
70,0.014423077,0.375,26.0,71000,98500,1968,0.27,1.18,0.015,0.034,0.008,0.0,0.01,0.008,0.001,0.037000000000000005,0.076,0.008,0.002,0.009000000000000001,0.0,0
71,0.014423077,0.375,26.0,87500,103100,2016,0.064,1.61,0.001,0.308,0.008,0.025,0.08800000000000001,0.069,0.032,0.11699999999999999,0.239,0.011000000000000001,0.013999999999999999,0.07200000000000001,0.008,0
72,0.015625,0.375,24.0,35100,51500,1948,0.042,0.32,0.011000000000000001,0.002,0.006,0.002,0.023,0.008,0.001,0.055,0.11199999999999999,0.018000000000000002,0.002,0.002,0.016,1
