ID,OD_WT_Ratio,Pipe_WT,Pipe_OD,Yield_Strength,Tensile_Strength,Pipe_Vintage,C,Mn,Nb,Pipe_Grade
349,0.020071429,0.281,14,55000,79000,1966,0.246,1.09,0.001,5
350,0.020071429,0.281,14,59700,88100,1965,0.274,1.09,0.001,5
351,0.020071429,0.281,14,62000,85600,1965,0.24,1.19,0.001,5
352,0.022039216,0.281,12.75,37900,66000,1950,0.26,0.77,0.0002,3
353,0.022039216,0.281,12.75,48650,69100,1953,0.27,0.54,0,2
354,0.022039216,0.281,12.75,62000,84000,1967,0.214,1.15,0.034,6
355,0.026139535,0.281,10.75,55400,75600,1956,0.25,0.84,0.002,3
356,0.03257971,0.281,8.625,39700,64500,1930,0.078,0.406,0.001,2
357,0.03257971,0.281,8.625,46500,66000,1930,0.064,0.386,0.001,2
358,0.03257971,0.281,8.625,49700,66500,1930,0.243,0.816,0.001,2
359,0.03257971,0.281,8.625,50500,79000,1930,0.084,0.391,0.001,2
360,0.042415094,0.281,6.625,45600,68000,2001,0.133,1.04,0.001,3
361,0.0175,0.28,16,56500,72500,1954,0.249,0.856,0.002,5
362,0.026352941,0.28,10.625,51500,76000,1950,0.245,1.01,0.002,3
363,0.026352941,0.28,10.625,54000,77000,1950,0.259,0.76,0.002,3
364,0.042264151,0.28,6.625,42700,59000,1977,0.221,0.898,0.001,2
365,0.042264151,0.28,6.625,47600,63000,1932,0.119,0.468,0.001,2
366,0.042264151,0.28,6.625,53000,66000,1952,0.267,0.689,0.001,2
