ML_DefectID_s7,ML_AxDist_s7,ML_AxLength_s7,ML_AxWidth_s7,ML_MaxDepthPer_s7,ML_FailurePressure_s7,ML_AvgDepth_s7,ML_Orient_s7,ML_AvgDepthPer_s7,ML_MaxDepth_s7,ML_MinRemWall_s7,ML_FactorSafety_s7,ML_FailurePressType_s7,ML_DepthMeasured_s7,ML_CorrosionType_s7,ML_LocThruWall_s7,ML_FullCirc_s7,ML_RefGW_s7,ML_ScanID_s7,ML_AcWallThickness_s7,ML_ILI_DefectID_s7,ML_AssocDefectID_s7,ML_DefectStatus_s7
CLS-092,11.528,14,13,12.01,9012,0.913,346.2,9.82,1.117,8.183,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-093,11.546,2,2,10.31,9016,0.959,9.2,10.31,0.959,8.341,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-094,11.572,6,3,11.08,9015,1.006,332.6,10.81,1.03,8.27,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-095,11.582,50,56,16.55,8942,1.048,350,11.27,1.539,7.761,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-096,11.614,22,13,19.75,9005,0.871,333.4,9.37,1.837,7.463,1.48,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-097,11.692,12,11,16.56,9011,1.326,29.8,14.26,1.54,7.76,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-098,11.718,14,17,15.71,9011,0.961,348.4,10.34,1.461,7.839,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-099,11.738,12,8,17.38,9011,1.387,30.2,14.92,1.616,7.684,1.49,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-100,11.774,120,32,20.45,8769,0.898,348.6,9.66,1.902,7.398,1.45,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-101,11.786,78,18,25.3,8849,1.076,32.8,11.57,2.353,6.947,1.46,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
DMA-102,11.81,2,2,10.69,9016,0.994,334.9,10.69,0.994,8.306,1.49,Mod. B31G,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-103,11.864,50,12,27.54,8938,1.17,335.9,12.58,2.561,6.739,1.47,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
CLS-104,11.896,62,26,32.02,8854,1.463,33.7,15.73,2.978,6.322,1.46,EFF. AREA,Laser,CORROSION - Pitting,External,No,13860,SCAN-003,9.3,,,RECOAT
